index,genres,keywords,tagline,title,cast,director
1331,Adventure Comedy Family Fantasy,fictional place exotic island shipwreck cruise volcano,Your adventure starts here.,Nim's Island,Abigail Breslin Jodie Foster Gerard Butler Michael Carman Mark Brady,Jennifer Flackett
1332,Drama Action,world champion sport racing car formula 1 automobile racing,Everyone's driven by something.,Rush,Daniel Br\u00fchl Chris Hemsworth Olivia Wilde Alexandra Maria Lara Natalie Dormer,Ron Howard
1333,Drama,farewell regret parents kids relationship suicide attempt becoming an adult,"Things fall down. People look up. And when it rains, it pours.",Magnolia,Julianne Moore William H. Macy John C. Reilly Tom Cruise Philip Baker Hall,Paul Thomas Anderson
1334,Action Comedy Crime,new york money laundering daughter police undercover cop,Rock out with your Glock out,Cop Out,Bruce Willis Tracy Morgan Juan Carlos Hern\u00e1ndez Seann William Scott Michelle Trachtenberg,Kevin Smith
1335,Comedy Romance,new york based on novel one-night stand single,Welcome to the party,How to Be Single,Dakota Johnson Rebel Wilson Alison Brie Nicholas Braun Damon Wayans Jr.,Christian Ditter
1336,Drama Family,dolphin boy trap summer tail,Inspired by the amazing true story of Winter.,Dolphin Tale,Morgan Freeman Ashley Judd Harry Connick Jr. Nathan Gamble Kris Kristofferson,Charles Martin Smith
1337,Adventure Fantasy Drama Romance,soulmates vampire forbidden love immortality trust,"When you can live forever, what do you live for?",Twilight,Kristen Stewart Robert Pattinson Billy Burke Taylor Lautner Peter Facinelli,Catherine Hardwicke
1338,Drama Thriller Crime,father son relationship chicago heart attack kidnapping heart disease,Give a father no options and you leave him no choice.,John Q,Denzel Washington Robert Duvall Anne Heche Kimberly Elise Daniel E. Smith,Nick Cassavetes
1339,Action Comedy Crime,robbery diamant police operation police everyday life thief,He's A Cop That's Not.,Blue Streak,Martin Lawrence Luke Wilson Dave Chappelle Peter Greene Nicole Ari Parker,Les Mayfield
1340,Comedy Crime,mexico police gang drug smuggling drug,-If anyone asks.,We're the Millers,Jason Sudeikis Jennifer Aniston Will Poulter Emma Roberts Ed Helms,Rawson Marshall Thurber
1341,Action Fantasy Science Fiction Thriller,based on novel brother sister relationship sword fight spaceship strugatsky,,The Inhabited Island,Vasily Stepanov Pyotr Fyodorov \u042e\u043b\u0438\u044f \u0421\u043d\u0438\u0433\u0438\u0440\u044c Fyodor Bondarchuk Sergey Garmash,Fyodor Bondarchuk
1342,Drama Action Thriller,california bank ransom car breakdown kidnapping,It could happen to you.,Breakdown,Kurt Russell J. T. Walsh Kathleen Quinlan M.C. Gainey Jack Noseworthy,Jonathan Mostow
1343,Adventure Action Thriller,video game spy bahamas british stealing,Sean Connery is James Bond 007,Never Say Never Again,Sean Connery Kim Basinger Klaus Maria Brandauer Edward Fox Barbara Carrera,Irvin Kershner
1344,Science Fiction Comedy Adventure,female nudity one-night stand time travel time machine incest overtones,Kick some past,Hot Tub Time Machine,John Cusack Lizzy Caplan Rob Corddry Craig Robinson Clark Duke,Steve Pink
1345,Family Drama,dolphin aquarium swimming,WINTER's amazing true story... now has HOPE.,Dolphin Tale 2,Morgan Freeman Ashley Judd Nathan Gamble Cozi Zuehlsdorff Harry Connick Jr.,Charles Martin Smith
1346,Thriller,prison robbery role reversal extramarital affair,The trap is set. The game is on.,Reindeer Games,Ben Affleck Gary Sinise Charlize Theron Dennis Farina Donal Logue,John Frankenheimer
1347,Action Drama,repayment arbitrary law cop loss of wife,Love changes a man. Revenge tears him apart.,A Man Apart,Vin Diesel Larenz Tate Timothy Olyphant Geno Silva Jacqueline Obradors,F. Gary Gray
1348,Drama Comedy Romance,love triangle hawaii satellite military duringcreditsstinger,Sometimes you have to say goodbye before you can say hello.,Aloha,Bradley Cooper Emma Stone Rachel McAdams Bill Murray John Krasinski,Cameron Crowe
1349,History Drama,assassin widow trial civil rights activist,From the director of A FEW GOOD MEN comes a compelling TRUE STORY.,Ghosts of Mississippi,Alec Baldwin James Woods Virginia Madsen Whoopi Goldberg Craig T. Nelson,Rob Reiner
1350,Drama Romance,journalist japanese wife fisherman war,From the director of 'Shine',Snow Falling on Cedars,Ethan Hawke Youki Kudoh Reeve Carney Anne Suzuki Rick Yune,Scott Hicks
1351,Drama Thriller Horror,vatican violinist hospital miscarriage exorcist,You can only defeat it when you believe.,The Rite,Anthony Hopkins Colin O'Donoghue Alice Braga Toby Jones Ciar\u00e1n Hinds,Mikael H\u00e5fstr\u00f6m
1352,Thriller Science Fiction Mystery Romance,paraplegic suicide attempt cheating dna spaceman,There is no gene for the human spirit.,Gattaca,Ethan Hawke Jude Law Gore Vidal Uma Thurman Alan Arkin,Andrew Niccol
1353,Drama Comedy,autism based on article,Talent Isn't Everything...,Isn't She Great,Bette Midler Nathan Lane Stockard Channing David Hyde Pierce John Cleese,Andrew Bergman
1354,Animation Family,space marine chimp space aftercreditsstinger,"Houston, we have a problem!",Space Chimps,Andy Samberg Cheryl Hines Jeff Daniels Patrick Warburton Kristin Chenoweth,Kirk De Micco
1355,Comedy,usa black people usa president presidential election election campaign,,Head of State,Chris Rock Bernie Mac Dylan Baker Nick Searcy Lynn Whitfield,Chris Rock
1356,Comedy,underwear tiger stag night hangover lost weekend,Some guys just can't handle Vegas.,The Hangover,Bradley Cooper Ed Helms Zach Galifianakis Justin Bartha Heather Graham,Todd Phillips
1357,Action Drama History,biography,,Ip Man 3,Donnie Yen Lynn Hung Zhang Jin Patrick Tam Karena Ng,Wilson Yip
1358,Adventure Comedy Crime Science Fiction,saving the world moon submarine clone spy,"I'm back, baby!",Austin Powers: The Spy Who Shagged Me,Mike Myers Heather Graham Michael York Robert Wagner Rob Lowe,Jay Roach
1359,Fantasy Action,double life dc comics dual identity chemical crime fighter,Have you ever danced with the devil in the pale moonlight?,Batman,Jack Nicholson Michael Keaton Kim Basinger Michael Gough Pat Hingle,Tim Burton
1360,Drama,spanish civil war priest independent film catholic dying,,There Be Dragons,Charlie Cox Dougray Scott Wes Bentley Rodrigo Santoro Jordi Moll\u00e0,Roland Joff\u00e9
1361,Adventure Action Comedy Thriller Crime,rookie cop dog biscuit shooting practice sitting on a toilet judo throw,The magic is back again!,Lethal Weapon 3,Mel Gibson Danny Glover Joe Pesci Rene Russo Stuart Wilson,Richard Donner
1362,Drama,american football adoption education private school sport,Based on the extraordinary true story,The Blind Side,Sandra Bullock Quinton Aaron Kathy Bates Tim McGraw Jae Head,John Lee Hancock
1363,Action Comedy Family Adventure,double life parents kids relationship brother sister relationship loss of parents secret agent,Real spies...only smaller,Spy Kids,Alexa PenaVega Daryl Sabara Antonio Banderas Carla Gugino Alan Cumming,Robert Rodriguez
1364,Comedy Crime,conspiracy of murder bad boss employee death of father stakeout,Ever wish your boss was dead?,Horrible Bosses,Jennifer Aniston Jason Bateman Charlie Day Jason Sudeikis Colin Farrell,Seth Gordon
1365,Drama Adventure Western,loss of father father murder texas ranger alcoholism betrayal,Punishment Comes One Way or Another.,True Grit,Jeff Bridges Matt Damon Josh Brolin Barry Pepper Hailee Steinfeld,Joel Coen
1366,Comedy Drama Romance,paris journalist journalism world of fasion fashion journal,Meet Andy Sachs. A million girls would kill to have her job. She's not one of them.,The Devil Wears Prada,Meryl Streep Anne Hathaway Emily Blunt Stanley Tucci Simon Baker,David Frankel
1367,Science Fiction Adventure Mystery,artificial intelligence uss enterprise starfleet san francisco self sacrifice,The human adventure is just beginning.,Star Trek: The Motion Picture,William Shatner Leonard Nimoy DeForest Kelley James Doohan George Takei,Robert Wise
1368,Comedy Crime,,She's having the time of his life,Identity Thief,Jason Bateman Melissa McCarthy Jon Favreau Amanda Peet T.I.,Seth Gordon
1369,Crime Thriller,prison child abuse rape small town daughter,There is nothing in the dark that isn't there in the light. Except fear.,Cape Fear,Robert De Niro Nick Nolte Jessica Lange Juliette Lewis Joe Don Baker,Martin Scorsese
1370,Drama Crime,gambling card game professor harvard university cohabitant,They proved the Vegas Blackjack System was beatable...by beating the hell out of it.,21,Jim Sturgess Kevin Spacey Kate Bosworth Aaron Yoo Liza Lapira,Robert Luketic
1371,Comedy,alcohol one-night stand,We All Know One.,Trainwreck,Amy Schumer Bill Hader Brie Larson Colin Quinn Vanessa Bayer,Judd Apatow
1372,Comedy Romance,black people jealousy parents-in-law trouble fianc\u00e9e,His house. His rules. Some in-laws were made to be broken.,Guess Who,Bernie Mac Ashton Kutcher Zoe Saldana Judith Scott Hal Williams,Kevin Rodney Sullivan
1373,Drama Romance War,cairo egypt identity amnesia world war ii,"In love, there are no boundaries.",The English Patient,Ralph Fiennes Juliette Binoche Willem Dafoe Kristin Scott Thomas Naveen Andrews,Anthony Minghella
1374,Crime Drama Mystery Thriller,corruption detective shotgun morgue f word,Everything is suspect... Everyone is for sale... And nothing is what it seems.,L.A. Confidential,Kevin Spacey Guy Pearce Danny DeVito James Cromwell Kim Basinger,Curtis Hanson
1375,Adventure Comedy Family,hero loyalty mockery supernatural powers high school,Saving The World... One Homework Assignment At A Time.,Sky High,Michael Angarano Kurt Russell Kelly Preston Danielle Panabaker Kevin Heffernan,Mike Mitchell
1376,Comedy Romance,gay homophobia coming out lgbt,An out-and-out comedy.,In & Out,Kevin Kline Joan Cusack Tom Selleck Matt Dillon Debbie Reynolds,Frank Oz
1377,Science Fiction Horror Action,telepathy dna paranoia genetics instinct,Our time is up.,Species,Natasha Henstridge Ben Kingsley Michael Madsen Alfred Molina Forest Whitaker,Roger Donaldson
1378,Horror,child murderer sleep nightmare supernatural slasher,"If Nancy Doesn't Wake Up Screaming, She Won't Wake Up At All!",A Nightmare on Elm Street,John Saxon Ronee Blakley Heather Langenkamp Amanda Wyss Jsu Garcia,Wes Craven
1379,Horror Science Fiction Thriller,drowning therapist virtual reality serial killer psychopathy,Enter The Mind Of A Killer,The Cell,Jennifer Lopez Vincent D'Onofrio Vince Vaughn Marianne Jean-Baptiste Catherine Sutherland,Tarsem Singh
1380,Action Adventure Drama,france swordplay mask musketeer,For the honor of a king. And the destiny of a country. All for one.,The Man in the Iron Mask,Leonardo DiCaprio Jeremy Irons G\u00e9rard Depardieu Gabriel Byrne John Malkovich,Randall Wallace
1381,Drama,horse race horseback riding biography,The Impossible True Story,Secretariat,Diane Lane John Malkovich Scott Glenn Dylan Walsh Fred Dalton Thompson,Randall Wallace
1382,Adventure Animation Comedy Family,new york brother brother relationship journalist martial arts crime fighter,,TMNT,Chris Evans Sarah Michelle Gellar Mako Kevin Smith Patrick Stewart,Kevin Munroe
1383,Drama,biography friendship sport,His courage made them champions.,Radio,Cuba Gooding Jr. Ed Harris Alfre Woodard S. Epatha Merkerson Debra Winger,Mike Tollin
1384,Romance Comedy,funeral friends hospital aftercreditsstinger duringcreditsstinger,Some friends come with a happy ending.,Friends with Benefits,Justin Timberlake Mila Kunis Patricia Clarkson Woody Harrelson Nolan Gould,Will Gluck
1385,Comedy,alcohol college party sequel sorority,New neighbors.,Neighbors 2: Sorority Rising,Seth Rogen Rose Byrne Zac Efron Chlo\u00eb Grace Moretz Kiersey Clemons,Nicholas Stoller
1386,Comedy Drama History,biography animation writer moviemaking,"Where her book ended, their story began.",Saving Mr. Banks,Emma Thompson Tom Hanks Paul Giamatti Colin Farrell Ruth Wilson,John Lee Hancock
1387,Drama History,islam new york prison assassination ku klux klan,,Malcolm X,"Denzel Washington Angela Bassett Albert Hall Al Freeman, Jr. Delroy Lindo",Spike Lee
1388,Comedy,wife husband relationship children family relationships duringcreditsstinger,The sort-of sequel to 'Knocked Up',This Is 40,Paul Rudd Leslie Mann Jason Segel Maude Apatow Megan Fox,Judd Apatow
1389,Comedy Family,japanese camp best friend co-worker kids,Life is Not Child-Proof.,Old Dogs,Robin Williams John Travolta Seth Green Justin Long Matt Dillon,Walt Becker
1390,Fantasy Action Adventure Science Fiction Thriller,prison underworld slavery castle vampire,Every war has a beginning.,Underworld: Rise of the Lycans,Bill Nighy Michael Sheen Rhona Mitra Shane Brolly Steven Mackintosh,Patrick Tatopoulos
1391,Comedy,new love ten commandments bride bridegroom marriage,First came love... then came Reverend Frank.,License to Wed,Robin Williams Mandy Moore John Krasinski Eric Christian Olsen Christine Taylor,Ken Kwapis
1392,Comedy,baseball pizza sport paperboy team,Get off the bench and get into the game.,The Benchwarmers,Jon Heder Rob Schneider David Spade Jon Lovitz Tim Meadows,Dennis Dugan
1393,Comedy Romance,sister sister relationship make a match single children teacher,,Must Love Dogs,Diane Lane John Cusack Elizabeth Perkins Christopher Plummer Dermot Mulroney,Gary David Goldberg
1394,Crime Drama Thriller,undercover colombia mafia mobster dirty cop,Based on a true story.,Donnie Brasco,Johnny Depp Al Pacino Michael Madsen Bruno Kirby James Russo,Mike Newell
1395,Horror Action Science Fiction,undercover mutant dystopia conspiracy zombie,A secret experiment. A deadly virus. A fatal mistake.,Resident Evil,Milla Jovovich Michelle Rodriguez Eric Mabius Ryan McCluskey Oscar Pearce,Paul W.S. Anderson
1396,Horror,medium ghostbuster poltergeist haunted house dying and death,They're here.,Poltergeist,Craig T. Nelson JoBeth Williams Beatrice Straight Heather O'Rourke Dominique Dunne,Tobe Hooper
1397,Comedy Crime Thriller,church choir hiding place garbage duringcreditsstinger,The greatest criminal minds of all time have finally met their match.,The Ladykillers,Tom Hanks Irma P. Hall Marlon Wayans J.K. Simmons Tzi Ma,Joel Coen
1398,Action,assassin based on video game aftercreditsstinger,When a Man Has Lost Everything. He Only has Revenge,Max Payne,Mark Wahlberg Mila Kunis Beau Bridges Ludacris Chris O'Donnell,John Moore
1399,Action Thriller Science Fiction,bank future time dystopia race against time,Time Is Power,In Time,Justin Timberlake Amanda Seyfried Cillian Murphy Olivia Wilde Alex Pettyfer,Andrew Niccol
1400,Comedy Romance,kiss sperm bank romantic comedy male female relationship doctor,"Fall in love, get married, have a baby. Not necessarily in that order.",The Back-Up Plan,Jennifer Lopez Alex O'Loughlin Danneel Ackles Eric Christian Olsen Anthony Anderson,Alan Poul
1401,Comedy Drama Romance,new york alcohol based on novel secret cheating,It's a thin line between love and friendship.,Something Borrowed,Kate Hudson Ginnifer Goodwin John Krasinski Colin Egglesfield Ashley Williams,Luke Greenfield
1402,Adventure Comedy Fantasy,england black people medallion castle time travel,It's only a flesh wound!,Black Knight,Martin Lawrence Marsha Thomason Tom Wilkinson Vincent Regan Daryl Mitchell,Gil Junger
1403,Comedy Family,baseball sport little league,The coach is waiting for his next beer. The pitcher is waiting for her first bra. The team is waiting for a miracle. Consider the possibilities.,The Bad News Bears,Walter Matthau Tatum O'Neal Ben Piazza Vic Morrow Erin Blunt,Michael Ritchie
